focal_id,delay_year,new_phrase_comb,new_phrase,new_word_comb,novelty,first_author_productivity,team_productivity,author_count,journal_tier_rc,journal_tier_orig5,journal_tier,inter_coauthorship,Ni_foreign_ratio,Nj_foreign_ratio,year,field,Ni_dynamic,Nj_dynamic,citation_dynamic
https://openalex.org/W1981849920,0,4,0,8,1.6094379124341003,17.0,17.0,1,0,2,1,0,0.0,,1999,4,2,0,2
https://openalex.org/W1981858391,2,0,0,0,0.0,5.0,8.0,4,0,2,1,0,0.3333,0.0,1999,4,3,1,4
https://openalex.org/W1982037127,7,11,0,12,2.4849066497880004,19.0,12.5,2,0,2,1,0,0.6,0.6667,1999,4,5,3,8
https://openalex.org/W1982113842,1,1,0,0,0.6931471805599453,24.0,24.0,1,0,2,1,0,0.0,,1999,4,2,0,2
https://openalex.org/W1982554537,0,3,0,26,1.3862943611198906,37.0,37.0,1,0,5,0,0,0.0,,1999,4,2,0,2
https://openalex.org/W1982792314,2,17,1,97,2.8903717578961645,58.0,58.0,1,0,2,1,0,0.0,,1999,4,3,0,3
https://openalex.org/W1982802181,0,0,0,0,0.0,110.0,110.0,1,0,2,1,0,0.6667,,1999,4,3,0,3
https://openalex.org/W1982877118,0,1,0,0,0.6931471805599453,13.0,13.0,1,1,1,1,0,0.0,,1999,4,5,0,5
https://openalex.org/W1983380146,0,0,0,0,0.0,4.0,22.0,2,1,1,1,0,0.4286,0.0,1999,4,7,2,9
https://openalex.org/W1983585567,5,0,0,0,0.0,12.0,12.0,1,0,2,1,0,0.375,0.5,1999,4,8,2,10
https://openalex.org/W1983617709,0,0,0,0,0.0,0.0,0.0,1,0,3,0,0,0.1667,0.0,1999,4,6,1,7
https://openalex.org/W1983654051,1,6,0,11,1.9459101490553132,1.0,1.0,1,1,1,1,0,1.0,,1999,4,1,0,1
https://openalex.org/W1983738955,7,2,0,6,1.0986122886681098,22.0,22.0,1,0,2,1,0,0.2879,0.1622,1999,4,66,37,103
https://openalex.org/W1983958582,3,7,0,8,2.0794415416798357,1.0,41.333333333333336,3,0,2,1,0,1.0,,1999,4,1,0,1
https://openalex.org/W1984122890,5,6,0,8,1.9459101490553132,2.0,17.5,2,0,3,0,0,0.7778,0.8571,1999,4,9,7,16
https://openalex.org/W1984490321,0,0,0,0,0.0,1.0,1.0,1,0,2,1,0,0.1667,0.0,1999,4,6,1,7
https://openalex.org/W1984504292,0,0,0,0,0.0,9.0,9.0,1,1,1,1,0,0.125,,1999,4,8,0,8
https://openalex.org/W1984590739,0,0,0,1,0.0,50.0,50.0,1,1,1,1,0,0.4,,1999,4,5,0,5
https://openalex.org/W1985048288,9,0,0,1,0.0,11.0,61.75,4,0,2,1,0,0.6613,0.5172,1999,4,62,29,91
https://openalex.org/W1985187448,0,10,1,24,2.3978952727983707,4.0,38.0,3,1,1,1,0,0.2,0.0,1999,4,5,1,6
https://openalex.org/W1985304483,0,8,1,1,2.1972245773362196,13.0,22.5,2,1,1,1,0,0.1429,0.0,1999,4,7,1,8
https://openalex.org/W1985629980,7,2,0,8,1.0986122886681098,3.0,3.0,1,0,2,1,0,0.4615,0.3333,1999,4,26,6,32
https://openalex.org/W1985848571,0,6,0,6,1.9459101490553132,40.0,46.5,2,1,1,1,1,0.4167,0.0,1999,4,12,4,16
